"corpus","ukwac"
"subcorpus","-"
"concordance size","20642"
"query","Query:[lc=""uses"" | lemma_lc=""uses""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"futuremovies.co.uk","Israel lobby"," uses","  donations  to"
"bl.uk",", Camelot"," uses","  horses  to"
"spamfo.co.uk","Software"," uses","  spyware  to"
"refer.nhs.uk","by rowers, it"," uses","  air"
"wdm.org.uk",", which also"," uses","  manners  and"
"bjhc.co.uk","service that"," uses","  desk  research"
"eduserv.org.uk",". It also"," uses","  filehandle"
"i-sis.org.uk","wow mouces"," uses","  forums  more"
"i-sis.org.uk","wow mouces"," uses","  forums  more"
"eduserv.org.uk","the rent and"," uses","  wood  for"
"pocket-lint.co.uk","Bertinotti"," uses","  words  like?"
"bized.ac.uk","the file. This"," uses","  file"
"bized.ac.uk",". This"," uses","  file"
"bized.ac.uk",". This"," uses","  file"
"bized.ac.uk",". This"," uses","  file"
"bized.ac.uk","status. This"," uses","  file"
"bized.ac.uk",". This"," uses","  file"
"bized.ac.uk","a file. This"," uses","  file"
"oneguyfrombarlick.co.uk","who writes or"," uses","  software  of"
"poetrysociety.org.uk","(ICDC) and"," uses","  gaming"
"casi.org.uk","? Because ADSL"," uses","  radio"
"bubl.ac.uk","which"," uses","  strategies"
"projects.ex.ac.uk","Quadrophenia"," uses",""
"bnp.org.uk","off the Bench"," uses","  football  as a"
"pocket-lint.co.uk","computing"," uses",""
"le.ac.uk","''This service"," uses","  data  from the"
"cd.ciao.co.uk","19/ 06)) which"," uses","  data  from the"
"ioe.ac.uk","in a domain"," uses","  information"
"cnetwork.co.uk","creates and"," uses","  talent  is far"
"dumgal.gov.uk","to look as if it"," uses","  frames  , but"
"dumgal.gov.uk",". The site"," uses","  frames  and"
"archive.food.gov.uk",". This paper"," uses","  findings  from"
"history.ac.uk","exhibition"," uses","  sight  , sound"
"ess.uwe.ac.uk","know sustanon"," uses","  groundnut  oil"
"nwda.co.uk","show that"," uses","  brand  new"
"english-heritage.org.uk","archives, and"," uses","  polling  ,"
"acegamez.co.uk","- which"," uses","  music  from the"
"dumgal.gov.uk","the Museum"," uses","  software  on"
"burnyourbonus.co.uk","The date below"," uses","  Javascript  ."
"incore.ulst.ac.uk","battalion"," uses","  subscriber"
"inminds.co.uk","research that"," uses","  multi-level"
"starlink.rl.ac.uk","Norway rarely"," uses","  mercury  in"
"huntinginquiry.gov.uk","battalions"," uses","  information"
"www3.imperial.ac.uk","twist that"," uses","  textures  and"
"computerarts.co.uk","Young ''s book"," uses","  part  of that"
"publications.parliament.uk",", this one"," uses","  lots  of tough"
"archive.food.gov.uk","East that"," uses","  lettering"
"parkinsons.org.uk","Office Agency"," uses","  geocodes  in"
"parkinsons.org.uk","Model"," uses","  census  data. ["
"bized.ac.uk","''s (he"," uses","  stanzas  of"
"spartacus.schoolnet.co.uk",". The book"," uses","  stories  ,"
"edwards-language-school.co.uk",", and which"," uses","  ''superfoods  ''"
"gfdl.marxists.org.uk","The bfi"," uses","  cookies  and"
"psigate.ac.uk",". GILS"," uses","  network"
"cain.ulst.ac.uk","of horses. It"," uses","  horses  ''"
"rcpbml.org.uk","hooks when he"," uses","  size  eight --"
"bupa.co.uk","Certainly NLP"," uses","  words  . Yet, at"
"fortunecity.co.uk","417 lines, now"," uses","  xsl  : document"
"fortunecity.co.uk","that"," uses","  loads  of XSLT"
"eprints.ecs.soton.ac.uk",". Faulkner"," uses","  ''aspect  '' -"
"untoldlondon.org.uk","fussy in how he"," uses","  source"
"bbc.co.uk",". WaX"," uses","  hypertext"
"cabe.org.uk","(1988) that"," uses","  ridge  , valley"
"spartacus.schoolnet.co.uk","Simon Singh"," uses","  codes  to"
"bized.ac.uk","software that"," uses","  image"
"ears.dmu.ac.uk","white paper"," uses","  phrases  such"
"phrases.org.uk",". The site"," uses","  cookies*  for"
"ess.uwe.ac.uk","buffers"," uses","  memory  Some"
"dailymail.co.uk","of symbols"," uses","  space  in at"
"bubl.ac.uk","archives, and"," uses","  polling  ,"
"projects.ex.ac.uk",". The makefile"," uses","  jade  , a"
"eduserv.org.uk",". This paper"," uses","  findings  from"
"bbc.co.uk","Perl also"," uses","  \10  , \11, etc."
"classic-literature.co.uk","Shower "" that"," uses","  electricity"
"pparc.ac.uk",") It"," uses","  ldelema  as"
"pparc.ac.uk",". But then it"," uses","  ldobj  - this"
"pparc.ac.uk","X property, it"," uses","  ldloca  . s to"
"dresscircle.co.uk","in green ink or"," uses","  pictures  of"
"shef.ac.uk","that"," uses","  information"
"projects.ex.ac.uk","algorithm"," uses","  statistics  eg"
"painsupport.co.uk",". One type"," uses","  hormones  that"
"history.ac.uk","in Ghana, and"," uses","  document"
"sfc.ac.uk","new, but she"," uses","  evidence  to"
"futurelab.org.uk","article"," uses","  decision"
"spartacus.schoolnet.co.uk","pages that"," uses","  JavaScript  to"
"netdoctor.co.uk","open plan. It"," uses","  space  more"
"cpgb.org.uk","Therefore, it"," uses","  irrigation"
"excite.co.uk","The date below"," uses","  Javascript  ."
"sundaymail.co.uk",". UDPServer"," uses","  datagrams  ,"
"jr2.ox.ac.uk","which"," uses","  home"
"jr2.ox.ac.uk",". This"," uses","  facilities"
"psigate.ac.uk",". Shakespeare"," uses","  plenty  of"
"rcpbml.org.uk","to learning,"," uses","  case  studies"
"ballet.co.uk","The date below"," uses","  Javascript  ."
"bbc.co.uk",". Monsanto"," uses","  detective"
"nationalschool.gov.uk","battalion"," uses",""
"nationalschool.gov.uk","battalion"," uses","  tanks  and"
"visitsouthwest.co.uk",", Digital TV"," uses","  something"
"spartacus.schoolnet.co.uk","definition"," uses","  ''The  American"
"taxfreegold.co.uk","how the ESRC"," uses","  project"
"casi.org.uk","their system"," uses","  shade  trees,"
